,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,杨戴/奔月__chunk001,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/社戏__chunk001,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/离婚__chunk001,杨戴/肥皂__chunk001,杨戴/药__chunk001,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/风波__chunk001,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/在酒楼上__chunk001,蓝/奔月__chunk001,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/社戏__chunk001,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/离婚__chunk001,蓝/肥皂__chunk001,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/风波__chunk001
杨戴/祝福__chunk002,1.119827,1.154860,0.928720,1.095151,1.018903,1.105639,1.455030,1.118894,1.103925,1.331595,1.118213,0.875934,0.000000,1.147647,1.164837,1.153465,1.199459,1.360861,1.359505,1.151605,1.038829,1.080171,1.105011,1.265751,1.256383,1.235716,1.224098,1.166102,1.205847,1.556060,1.311621,1.284124,1.274811,1.373765,1.170323,1.031914,1.375791,1.347228,1.536357,1.284712,1.478498,1.256782,1.333854,1.195046,1.264228,1.274632
杨戴/离婚__chunk001,1.078701,1.130515,1.056376,0.917412,0.898219,1.010558,1.200405,0.989147,1.126166,1.237649,1.115264,0.939870,1.147647,0.000000,0.732134,0.994652,0.975510,1.099377,1.139311,1.006651,0.935401,1.157465,0.850507,1.117258,1.271257,1.040495,1.025775,1.004589,0.985859,1.240328,0.996481,1.220292,1.071719,1.103605,1.043179,1.273454,0.875235,0.936789,1.152815,1.145861,1.218755,1.108377,1.189500,0.893814,1.115202,0.959599
杨戴/肥皂__chunk001,1.016850,1.073870,1.012151,0.743753,0.916396,0.972469,1.058877,1.070392,1.086968,1.263842,1.085093,1.094934,1.164837,0.732134,0.000000,1.074415,0.917016,1.108340,1.159830,1.070766,1.114275,1.160990,0.973030,1.055621,1.217500,0.920175,0.873502,0.997385,0.962798,1.134129,0.928460,1.113673,1.043139,1.174430,0.965024,1.215981,0.945571,0.710643,1.211869,0.975232,1.268161,1.067457,1.150853,1.025609,1.079596,0.991063
杨戴/药__chunk001,1.187506,1.274190,1.135211,0.903169,0.966004,1.078817,1.184627,1.114267,1.032660,1.317262,1.026579,1.096865,1.153465,0.994652,1.074415,0.000000,0.870130,0.970805,1.334923,1.075018,1.024481,1.037838,0.982263,1.247606,1.266587,1.075605,1.013952,1.030792,1.004362,1.163756,0.996076,1.093107,1.202058,1.120720,1.059459,1.132502,1.039101,1.111820,0.924668,0.957053,1.100737,1.163430,1.089841,0.960828,0.970220,0.990445
杨戴/铸剑__chunk001,1.179190,1.161206,1.132472,0.800993,0.913240,1.069138,1.179612,1.098393,1.050086,1.394120,0.942691,1.170116,1.199459,0.975510,0.917016,0.870130,0.000000,0.943244,1.176659,0.971164,1.031256,1.036488,0.998330,1.145640,1.152190,0.924857,0.803236,0.948748,0.915381,1.121669,0.925566,1.024419,1.193139,0.954545,0.950354,1.194808,0.949433,0.993602,0.832200,0.536334,0.922361,0.984464,0.897083,0.803823,0.834157,0.869505
杨戴/铸剑__chunk002,1.253218,1.360852,1.235868,0.994893,1.079889,1.146358,1.252139,1.319970,1.075710,1.413527,1.007788,1.249062,1.360861,1.099377,1.108340,0.970805,0.943244,0.000000,1.441622,1.182281,1.108461,1.165068,1.073099,1.318384,1.416748,1.217654,1.110748,1.157843,1.132944,1.226866,1.168029,1.165761,1.250163,1.127787,1.186382,1.329957,1.064037,1.126632,1.105920,0.959701,0.689704,1.283258,1.168796,1.093931,1.141626,1.019155
杨戴/阿Q正传__chunk001,1.217582,1.366194,1.264599,1.184183,1.085684,1.042582,1.262230,1.310396,1.427944,1.302802,1.180285,1.080647,1.359505,1.139311,1.159830,1.334923,1.176659,1.441622,0.000000,0.881357,0.900813,1.040938,1.295530,1.238348,1.472587,1.298043,1.311755,1.179696,1.273500,1.443552,1.311892,1.429898,1.299964,1.406809,1.220194,1.550173,1.391463,1.429156,1.413858,1.210984,1.448001,0.765510,1.112278,1.048615,1.054067,1.363054
杨戴/阿Q正传__chunk002,1.200351,1.201450,1.096009,0.938100,0.936016,1.020515,1.241881,1.060411,1.146651,1.439422,1.050243,0.931911,1.151605,1.006651,1.070766,1.075018,0.971164,1.182281,0.881357,0.000000,0.738468,0.715498,0.974682,1.209923,1.199950,1.155534,1.043004,1.009606,1.093181,1.313861,1.156763,1.188118,1.246111,1.197255,1.053810,1.205777,1.236497,1.293443,1.233924,1.026161,1.221636,0.864622,0.822789,0.850297,0.837923,1.081442
杨戴/阿Q正传__chunk003,1.158784,1.176607,1.021251,1.027397,0.886593,0.928727,1.356992,1.000188,1.084836,1.263733,0.901902,0.849296,1.038829,0.935401,1.114275,1.024481,1.031256,1.108461,0.900813,0.738468,0.000000,0.769646,0.908936,1.187211,1.214438,1.148635,1.130416,1.006689,1.086546,1.422840,1.097965,1.204707,1.117988,1.107191,1.129503,1.330120,1.195156,1.256723,1.350778,1.122266,1.260788,0.945331,0.947694,0.735123,0.867986,1.104886
杨戴/阿Q正传__chunk004,1.145462,1.271037,1.033911,0.928866,0.919885,0.969306,1.358137,1.000977,1.069026,1.413202,0.969343,0.987515,1.080171,1.157465,1.160990,1.037838,1.036488,1.165068,1.040938,0.715498,0.769646,0.000000,0.889166,1.277665,1.264703,1.155086,1.000386,1.048352,1.077177,1.380369,1.126261,1.127543,1.278920,1.211830,1.159813,1.255443,1.267257,1.306652,1.245102,1.038903,1.274012,0.961279,0.927663,0.883915,0.657568,1.117969
